Date,Oudated,UpToDate,Untranslated,Total
2026-03-19,1522,0,12695,1924
2026-03-20,1522,0,12695,1924
2026-03-21,1909,0,12309,1909
2026-03-22,1909,0,12309,1909
2026-03-23,1909,0,12289,1909
2026-03-24,1909,0,12321,1909
2026-03-25,1909,0,12326,1909
2026-03-26,1909,0,12326,1909
2026-03-27,1909,0,12326,1909
2026-03-28,1909,0,12335,1909
2026-03-29,1909,0,12335,1909
2026-03-30,1909,0,12336,1909
2026-03-31,1909,0,12336,1909
2026-04-01,1909,0,12356,1909
2026-04-02,1909,0,12356,1909
2026-04-03,1909,0,12356,1909
2026-04-04,1909,0,12356,1909
